,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Failure Type Cat
0,1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure,1
2,3,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure,1
11,12,H29425,H,298.6,309.1,1423,44.3,29,0,No Failure,1
13,14,M14873,M,298.6,309.2,1742,30.0,37,0,No Failure,1
19,20,M14879,M,298.9,309.3,1632,32.5,55,0,No Failure,1
20,21,H29434,H,298.9,309.3,1375,42.7,58,0,No Failure,1
26,27,L47206,L,299.1,309.5,1512,39.0,75,0,No Failure,1
29,30,L47209,L,299.0,309.4,1693,30.1,84,0,No Failure,1
33,34,L47213,L,298.9,309.3,1665,32.5,93,0,No Failure,1
34,35,M14894,M,298.8,309.1,1559,34.7,95,0,No Failure,1
38,39,H29452,H,298.9,309.2,1379,50.7,106,0,No Failure,1
42,43,M14902,M,298.8,309.1,1368,49.1,117,0,No Failure,1
47,48,L47227,L,298.8,309.1,1418,46.3,133,0,No Failure,1
49,50,M14909,M,298.9,309.2,1412,44.1,140,0,No Failure,1
52,53,H29466,H,298.8,309.0,1497,43.8,147,0,No Failure,1
53,54,L47233,L,298.7,309.0,1565,35.1,152,0,No Failure,1
58,59,M14918,M,298.8,309.0,1661,29.5,162,0,No Failure,1
61,62,M14921,M,298.8,309.0,1592,38.2,169,0,No Failure,1
63,64,M14923,M,298.9,309.0,1812,25.9,174,0,No Failure,1
64,65,L47244,L,299.0,309.1,1523,38.6,177,0,No Failure,1
68,69,L47248,L,298.8,308.9,1527,32.4,189,0,No Failure,1
69,70,L47249,L,298.9,309.0,1410,65.7,191,1,Power Failure,3
70,71,M14930,M,298.9,309.0,1924,22.6,193,0,No Failure,1
71,72,L47251,L,298.9,309.1,1452,45.5,196,0,No Failure,1
73,74,L47253,L,299.0,309.1,1592,35.0,200,0,No Failure,1
75,76,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure,1
76,77,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure,1
80,81,H29494,H,298.8,308.8,1445,49.9,4,0,No Failure,1
84,85,L47264,L,298.9,308.9,1422,47.6,15,0,No Failure,1
86,87,H29500,H,299.0,309.0,1436,43.9,20,0,No Failure,1
87,88,L47267,L,299.0,309.0,1544,31.8,25,0,No Failure,1
92,93,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure,1
95,96,M14955,M,299.0,309.0,1351,52.2,44,0,No Failure,1
100,101,L47280,L,298.8,308.9,1852,25.0,57,0,No Failure,1
104,105,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure,1
105,106,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure,1
109,110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure,1
110,111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure,1
111,112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure,1
113,114,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure,1
114,115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure,1
117,118,L47297,L,298.8,308.6,1599,33.0,101,0,No Failure,1
120,121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure,1
124,125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure,1
125,126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure,1
127,128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure,1
131,132,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure,1
140,141,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure,1
141,142,L47321,L,298.7,308.5,1544,35.2,159,0,No Failure,1
142,143,M15002,M,298.6,308.4,1778,28.2,161,0,No Failure,1
154,155,L47334,L,298.4,308.2,1528,36.2,196,0,No Failure,1
155,156,H29569,H,298.4,308.2,1987,19.8,198,0,No Failure,1
160,161,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,2
165,166,L47345,L,298.5,308.4,1733,26.0,8,0,No Failure,1
166,167,H29580,H,298.4,308.2,1612,32.6,10,0,No Failure,1
167,168,H29581,H,298.4,308.3,1458,42.9,15,0,No Failure,1
171,172,L47351,L,298.2,308.1,1462,50.8,27,0,No Failure,1
172,173,M15032,M,298.1,308.0,1924,20.8,29,0,No Failure,1
176,177,L47356,L,298.2,308.1,1618,34.7,39,0,No Failure,1
178,179,L47358,L,298.2,308.2,1436,50.2,43,0,No Failure,1
180,181,L47360,L,298.2,308.3,1475,49.9,47,0,No Failure,1
184,185,L47364,L,298.2,308.2,1667,30.6,59,0,No Failure,1
188,189,L47368,L,298.3,308.5,1606,33.6,67,0,No Failure,1
190,191,L47370,L,298.2,308.4,1477,49.9,72,0,No Failure,1
191,192,L47371,L,298.2,308.4,1666,34.6,74,0,No Failure,1
195,196,L47375,L,298.3,308.5,1453,42.9,89,0,No Failure,1
198,199,L47378,L,298.4,308.7,1588,35.0,99,0,No Failure,1
203,204,L47383,L,298.4,308.5,1490,37.9,110,0,No Failure,1
205,206,M15065,M,298.5,308.6,1344,53.0,114,0,No Failure,1
206,207,L47386,L,298.5,308.7,1609,35.3,117,0,No Failure,1
207,208,M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure,3
208,209,L47388,L,298.4,308.6,1591,36.7,122,0,No Failure,1
213,214,L47393,L,298.4,308.7,1386,44.9,135,0,No Failure,1
214,215,M15074,M,298.3,308.6,1589,37.1,137,0,No Failure,1
216,217,L47396,L,298.3,308.6,1499,38.3,142,0,No Failure,1
223,224,L47403,L,298.4,308.6,1569,34.4,160,0,No Failure,1
224,225,L47404,L,298.3,308.6,1584,29.3,162,0,No Failure,1
225,226,L47405,L,298.3,308.5,1362,53.8,164,0,No Failure,1
228,229,M15088,M,298.3,308.5,1629,37.1,170,0,No Failure,1
230,231,L47410,L,298.3,308.6,1570,34.8,175,0,No Failure,1
233,234,L47413,L,298.2,308.4,1512,34.9,181,0,No Failure,1
236,237,L47416,L,298.1,308.3,1495,38.7,188,0,No Failure,1
238,239,L47418,L,297.9,308.1,1393,50.3,193,0,No Failure,1
241,242,L47421,L,298.0,308.1,1777,24.3,200,0,No Failure,1
242,243,L47422,L,298.0,308.2,1348,58.8,202,1,Overstrain Failure,2
243,244,L47423,L,298.0,308.2,1442,44.1,204,0,No Failure,1
245,246,M15105,M,297.9,308.1,1627,31.4,209,0,No Failure,1
247,248,L47427,L,298.0,308.2,1469,45.5,214,0,No Failure,1
250,251,L47430,L,298.0,308.3,1662,32.7,0,0,No Failure,1
253,254,L47433,L,298.0,308.2,1357,48.2,7,0,No Failure,1
257,258,L47437,L,298.0,308.0,1615,29.5,15,0,No Failure,1
258,259,L47438,L,298.1,308.2,1482,37.9,17,0,No Failure,1
261,262,L47441,L,298.1,308.2,1654,32.1,25,0,No Failure,1
264,265,L47444,L,298.1,308.2,1390,47.5,33,0,No Failure,1
266,267,H29680,H,298.0,308.1,1440,43.7,37,0,No Failure,1
268,269,H29682,H,297.9,308.0,1800,24.8,44,0,No Failure,1
270,271,H29684,H,298.0,308.0,1520,39.6,51,0,No Failure,1
271,272,M15131,M,298.1,308.1,1452,40.8,56,0,No Failure,1
272,273,L47452,L,298.1,308.1,1484,40.4,59,0,No Failure,1
275,276,L47455,L,298.0,308.0,1401,54.7,65,0,No Failure,1
283,284,L47463,L,298.2,308.2,1469,43.0,88,0,No Failure,1
292,293,L47472,L,298.1,308.4,1335,40.2,109,0,No Failure,1
295,296,M15155,M,298.1,308.6,1716,30.7,119,0,No Failure,1
302,303,H29716,H,297.8,308.4,1512,35.1,138,0,No Failure,1
303,304,M15163,M,297.8,308.4,1479,43.5,143,0,No Failure,1
309,310,M15169,M,297.9,308.5,1449,40.8,157,0,No Failure,1
312,313,L47492,L,297.9,308.6,1468,36.0,168,0,No Failure,1
316,317,L47496,L,297.8,308.4,1714,33.2,177,0,No Failure,1
317,318,L47497,L,297.8,308.4,1685,28.4,179,0,No Failure,1
318,319,L47498,L,297.8,308.4,1512,39.9,181,0,No Failure,1
320,321,H29734,H,297.8,308.4,1550,38.2,185,0,No Failure,1
322,323,L47502,L,297.8,308.5,1448,40.0,192,0,No Failure,1
323,324,L47503,L,297.8,308.5,1561,46.3,194,0,No Failure,1
328,329,H29742,H,297.6,308.4,1703,31.4,205,0,No Failure,1
334,335,M15194,M,297.5,308.1,1469,44.8,5,0,No Failure,1
339,340,M15199,M,297.5,308.2,1713,32.2,17,0,No Failure,1
341,342,M15201,M,297.4,308.2,1530,32.6,22,0,No Failure,1
344,345,M15204,M,297.5,308.2,2448,13.8,29,0,No Failure,1
356,357,M15216,M,297.6,308.4,1398,48.9,63,0,No Failure,1
358,359,M15218,M,297.6,308.3,1467,36.7,68,0,No Failure,1
362,363,H29776,H,297.6,308.3,1640,30.9,79,0,No Failure,1
363,364,L47543,L,297.6,308.3,1438,47.8,84,0,No Failure,1
365,366,L47545,L,297.6,308.4,1353,57.5,88,0,No Failure,1
367,368,M15227,M,297.6,308.4,1569,38.3,93,0,No Failure,1
371,372,L47551,L,297.5,308.4,1604,38.1,106,0,No Failure,1
375,376,L47555,L,297.4,308.2,1533,37.4,115,0,No Failure,1
379,380,L47559,L,297.3,308.2,1754,26.8,125,0,No Failure,1
380,381,L47560,L,297.5,308.3,2564,12.8,127,1,Power Failure,3
390,391,L47570,L,297.6,308.7,1460,46.7,150,0,No Failure,1
392,393,M15252,M,297.6,308.5,1490,43.4,154,0,No Failure,1
398,399,H29812,H,297.4,308.3,1502,43.6,169,0,No Failure,1
400,401,L47580,L,297.4,308.5,2100,16.9,176,0,No Failure,1
402,403,L47582,L,297.4,308.6,1678,32.3,180,0,No Failure,1
403,404,L47583,L,297.3,308.6,1273,59.8,182,0,No Failure,1
404,405,L47584,L,297.3,308.6,1297,45.9,184,0,No Failure,1
409,410,L47589,L,297.4,308.6,1459,41.3,196,0,No Failure,1
414,415,L47594,L,297.4,308.4,1588,32.5,207,0,No Failure,1
417,418,L47597,L,297.4,308.4,1394,50.1,213,0,No Failure,1
421,422,M15281,M,297.3,308.3,1657,31.1,8,0,No Failure,1
422,423,L47602,L,297.3,308.3,1333,55.2,11,0,No Failure,1
425,426,M15285,M,297.3,308.4,1665,28.9,17,0,No Failure,1
426,427,L47606,L,297.4,308.5,1501,44.9,20,0,No Failure,1
